key,tr,en,ko,ar,zh-CN,zh-TW,ja,de,fr,es,it,nl,pt,vi,ru,id,th
roadmap.d3,Sürekli hizmet lansmanları ve genişleyen pazarlama çalışmaları sayesinde GOCAR Guardians dünyasını büyüteceğiz.,"Through continuous service launches and expanded marketing efforts, we will expand the world of GOCAR Guardians",지속적인 서비스 출시와 확장된 마케팅 전략을 통해 GOCAR 가디언의 세계를 더욱 넓혀갈 것입니다.,من خلال عمليات إطلاق الخدمات المستمرة وتوسيع جهود التسويق، سنوسع عالم GOCAR Guardians.,通过服务的推陈出新和扩大营销策略，我们将进一步拓展 GOCAR 守护者的世界。,透過服務的推陳出新和擴大行銷策略，我們將進一步拓展GOCAR守護者的世界。,継続的なサービス展開と拡張されたマーケティング戦略を通じて、GOCAR ガーディアンの世界をさらに広げていきます。,Durch kontinuierliche Serviceeinführungen und verstärkte Marketingmaßnahmen werden wir die Welt der GOCAR Guardians erweitern.,"Grâce à des lancements de services continus et des efforts marketing accrus, nous élargirons l’univers des GOCAR Guardians","A través del lanzamiento continuo de servicios y mayores esfuerzos de marketing, expandiremos el mundo de los GOCAR Guardians.","Con il lancio continuo di servizi e l'ampliamento delle attività di marketing, espanderemo il mondo dei Guardiani di GOCAR.",Door voortdurende service-uitbreiding en uitgebreide marketing zullen we de wereld van GOCAR Guardians laten groeien.,"Pormeiosdelançamentos de serviços contínuos e esforços ampliados de marketing, expandiremos o mundo dos GOCAR Guardians.","Thông qua các đợt ra mắt dịch vụ liên tục và mở rộng chiến dịch tiếp thị, chúng tôi sẽ mở rộng thế giới của Vệ Binh GOCAR",Благодаря постоянным запускам сервисов и расширенным маркетинговым усилиям мы расширим мир GOCAR Guardians.,"Melalui peluncuran layanan yang berkelanjutan dan upaya pemasaran yang diperluas, kami akan memperluas dunia GOCAR Guardians.",เราจะนำพา GOCAR Guardians ไปสู่ระดับโลกด้วยการเปิดตัวบริการและบุกตลาดอย่างต่อเนื่อง
roadmap.e1,Faz 4: Kazalar ve Rahatsızlıklardan Arınmış Bir Mobilite Ekosistemi İnşa Etmek,"Phase 4: Building a Mobility Ecosystem Free from Accidents & Inconvenience
","4단계: 사고와 불편함이 없는 모빌리티 생태계 구축
",المرحلة 4: بناء نظام بيئي للتنقل خالٍ من الحوادث والمتاعب,"第 4 阶段：创造无不便之处的零事故用路环境
","第 4 階段：創造無不便之處的零事故用路環境
","第 4 段階：事故や不便のないモビリティエコシステムの構築
",Phase 4: Aufbau eines Mobilitätsökosystems frei von Unfällen und Unannehmlichkeiten,"Phase 4 : Construire un écosystème de mobilité sans accidents ni inconvénients
",Fase 4: Construcción de un ecosistema de movilidad libre de accidentes e inconvenientes,Fase 4: Creare un ecosistema di mobilità privo di incidenti e di inconvenienti,Fase 4: Een mobiliteitsecosysteem zonder ongevallen & ongemakken,Fase 4: Construindo um ecossistema de mobilidade livre de acidentes e inconveniências,"Giai đoạn 4: Xây dựng hệ sinh thái di chuyển không có tai nạn và sự bất tiện
",Этап 4: Создание экосистемы мобильности без аварий и неудобств,"Fase 4: Membangun ekosistem mobilitas bebas dari kecelakaan dan ketidaknyamanan
",ระยะที่ 4: การสร้างระบบขับขี่ที่ปราศจากอุบัติเหตุและความไม่สะดวก
roadmap.e2,"Guardians'larımızın desteğiyle, yapay zeka destekli bir kaza önleme ve araç veri analiz sistemi kurmaya çalışacağız.","With the support of our Guardians, we will strive to establish an AI-driven accident prevention and vehicle data analysis system.","가디언들의 지원과 함께 AI 기반 사고 예방 및 차량 데이터 분석 시스템을 구축하는 것을 목표로 합니다. 
",بدعم من Guardians لدينا، سنسعى جاهدين لإنشاء نظام قائم على الذكاء الاصطناعي لمنع الحوادث وتحليل بيانات المركبات.,我们将在守护者的支持下，打造以 AI 为基础的事故预防和车辆数据分析系统。,"
我們將在守護者的支持下，打造以AI為基礎的事故預防和車輛數據分析系統。
",ガーディアンの支援のもと、AI を活用した事故予防および車両データ分析システムの構築を目指します。,"Mit der Unterstützung unserer Guardians werden wir uns bemühen, ein KI-gesteuertes zur Unfallverhütung- und Fahrzeugdatenanalyse zu etablieren.","Avec le soutien de nos Guardians, nous nous efforcerons d'établir un système de prévention des accidents et d'analyse des données des véhicules basé sur l'IA.","Con el apoyo de nuestros Guardians, nos esforzaremos por establecer un sistema de prevención de accidentes y análisis de datos de vehículos impulsado por IA.","Con il supporto dei nostri Guardiani , ci impegneremo a creare un sistema di prevenzione degli incidenti e di analisi dei dati dei veicoli guidato dall'intelligenza artificiale.",Met de steun van onze Guardians streven we naar een AI-gedreven systeem voor ongevalspreventie en voertuiggegevensanalyse.,"Com o apoio dos nossos Guardians, nós esforçaremos para estabelecer um sistema de prevenção de acidentes e análise de dados de veículos baseado em IA.","Với sự hỗ trợ của các Vệ Binh, chúng tôi sẽ nỗ lực thiết lập hệ thống phân tích dữ liệu xe và phòng tránh tai nạn dựa trên AI.",При поддержке наших Guardians мы будем стремиться создать систему предотвращения аварий и анализа данных о транспортных средствах на основе ИИ.,"Dengan dukungan para Guardians kami, kami akan berusaha untuk membangun sistem pencegahan kecelakaan dan analisis data kendaraan berbasis AI.",เหล่า Guardians ของเราทุกคนคือแรงพลักดันให้เราสร้างระบบป้องกันอุบัติเหตุและวิเคราะห์ข้อมูลยานพาหนะที่ขับเคลื่อนด้วย AI
roadmap.e3,"Sürücüler için daha güvenli ve konforlu hizmetler sağlama fırsatlarını keşfetmek amacıyla Tesla, Toyota ve Lamborghini gibi küresel mobilite liderleriyle iş birliği yapmayı hedefliyoruz.","We aim to collaborate with global mobility leaders such as Tesla, Toyota, and Lamborghini to explore opportunities for safer and more convenient services for drivers.","우리는 Tesla, Toyota, Lamborghini와 같은 글로벌 모빌리티 리더들과 협력하여 운전자들에게 더 안전하고 편리한 서비스를 제공할 수 있는 기회를 모색하는 것을 목표로 하고 있습니다.",نهدف إلى التعاون مع قادة التنقل العالميين مثل Tesla وToyota وLamborghini لاستكشاف فرص تقديم خدمات أكثر أمانًا وراحة للسائقين.,我们希望与 Tesla、Toyota、Lamborghini 等全球汽车行业的领导者合作，为驾驶者提供更加安全且便捷的服务。,"我們希望與 Tesla、Toyota、Lamborghini 等全球汽車行業的領導者合作，為駕駛者提供更加安全且便捷的服務。
",私たちは、Tesla、Toyota、Lamborghini などのグローバルモビリティリーダーと協力し、ドライバーにとってより安全で便利なサービスを提供する機会を模索していきます。,"Wir streben eine Zusammenarbeit mit globalen Mobilitätsmarktführern wie Tesla, Volkswagen und Lamborghini an, um Möglichkeiten für sicherere und bequemere Dienstleistungen für Fahrer zu erkunden.","Nous visons à collaborer avec des leaders mondiaux de la mobilité tels que Tesla, Toyota et Lamborghini afin d’explorer des opportunités pour des services plus sûrs et plus pratiques pour les conducteurs.","Nuestro objetivo es colaborar con líderes mundiales de movilidad como Tesla, Toyota y Lamborghini para explorar oportunidades que permitan ofrecer servicios más seguros y cómodos para los conductores.","Intendiamo collaborare con i leader mondiali della mobilità come Tesla, Toyota e Lamborghini per esplorare le opportunità di servizi più sicuri e convenienti per gli automobilisti.","We willen samenwerken met wereldwijde mobiliteitsleiders zoals Tesla, Toyota en Lamborghini om veiligere en handigere diensten voor bestuurders te verkennen.","Nosso objetivo é colaborar com líderes globais de mobilidade como Tesla, Toyota e Lamborghini para explorar oportunidades de serviços mais seguros e convenientes para os motoristas.","Chúng tôi hướng tới hợp tác với các nhà lãnh đạo chuyển động toàn cầu như Tesla, Toyota và Lamborghini để tìm kiếm cơ hội mang đến các dịch vụ an toàn và tiện lợi hơn cho người lái xe.","Мы намерены сотрудничать с мировыми лидерами в сфере мобильности, такими как Tesla, Toyota и Lamborghini, чтобы исследовать возможности для более безопасных и удобных сервисов для водителей.","Kami bertujuan untuk berkolaborasi dengan pemimpin mobilitas global seperti Tesla, Toyota, dan Lamborghini guna mengeksplorasi peluang layanan yang lebih aman dan nyaman bagi pengemudi.","เรามีเป้าหมายที่จะร่วมมือกับผู้นำด้านการขนส่งระดับโลก เช่น Tesla, Toyota และ Lamborghini เพื่อมองหาโอกาสใหม่ ๆ ในการให้บริการที่ปลอดภัยและสะดวกสบายยิ่งขึ้นสำหรับผู้ขับขี่"
roadmap.f1,Yasal Uyarı:,"DISCLAIMER: 

",면책 조항: ,إخلاء المسؤولية:,免责声明：,免責聲明：,免責事項: ,HAFTUNGSAUSSCHLUSS: ,Avertissement :,Descargo de responsabilidad:,DISCLAIMER:,DISCLAIMER:,Aviso Legal:,Lưu Ý Pháp Lý: ,Отказ от ответственности: , DISCLAIMER: ,ข้อจำกัดความรับผิดชอบ:
roadmap.g1,"Her zaman kendi araştırmanızı yapın. Burada sunulan hiçbir şey finansal tavsiye niteliği taşımamaktadır. Bu, eğlence ve keyif amacıyla oluşturulmuş bir meme coin'dir.","Always do your own research. Nothing presented here constitutes financial advice. This is a meme coin, intended for fun and entertainment.
","항상 스스로 조사하세요.
여기에 제공된 모든 정보는 재정적 조언이 아닙니다.
이것은 오직 재미와 엔터테인먼트를 위한 밈코인입니다.",قم دائمًا بإجراء أبحاثك الخاصة. لا يُعد أي مما هو معروض هنا نصيحة مالية. هذه عملة ميم، وُجدت للمتعة والترفيه فقط,"请务必自行研究。
此处提供的任何内容均不构成财务建议。
这是一种迷因币，仅供娱乐和消遣使用。","請務必自行研究。
此處提供的任何內容均不構成財務建議。
這是一種迷因幣，僅供娛樂和消遣使用。","必ずご自身で調査を行ってください。
ここに提供されたすべての情報は財務アドバイスではありません。
これは純粋に楽しさとエンターテイメントのためのミームコインです。","Führe stets deine eigene Recherche durch. Die hier präsentierten Informationen stellen keine Finanzberatung dar. Dies ist ein Meme-Coin, der ausschließlich zu Spaß- und Unterhaltungszwecken dient.","Faites toujours vos propres recherches. Rien de ce qui est présenté ici ne constitue un conseil financier. Il s'agit d'une meme coin, destinée à l'amusement et au divertissement."," Siempre haz tu propia investigación. Nada de lo que se presenta aquí constituye asesoramiento financiero. Esto es una meme coin, destinada al entretenimiento y la diversión.","fai sempre le tue ricerche. Nulla di quanto riportato nel presente documento costituisce una consulenza finanziaria. Questa è una valuta meme, pensata per il divertimento e l'intrattenimento.","Doe altijd je eigen onderzoek. Niets in deze presentatie vormt financieel advies. Dit is een meme-coin, bedoeld voor plezier en entertainment.","Sempre faça sua própria pesquisa. Nada do que é apresentado aqui constitui aconselhamento financeiro. Este é um meme coin, criado para diversão e entretenimento.","Luôn tự tiến hành nghiên cứu. Những thông tin được trình bày ở đây không phải là lời khuyên tài chính. Đây là một meme coin, dành cho mục đích giải trí và vui vẻ.","Всегда проводите собственное исследование. Ничто из представленного здесь не является финансовым советом. Это мем-коин, созданный для развлечения и веселья.",Selalu lakukan riset Anda sendiri. Semua yang disajikan di sini bukan merupakan nasihat keuangan. Ini adalah meme coin yang dibuat untuk kesenangan dan hiburan., โปรดศึกษาหาข้อมูลด้วยตนเองเสมอ สิ่งที่นำเสนอในที่นี้ไม่ใช่คำแนะนำทางการเงินแต่อย่างใด นี่คือเหรียญมีมที่สร้างขึ้นเพื่อความสนุกสนานและความบันเทิงเท่านั้น
staking.a1,GOCAR TOKEN STAKING,"GOCAR TOKEN STAKING 
","GOCAR 토큰 스테이킹
",تخزين رمز GOCAR,GOCAR 代币质押,"GOCAR代幣質押
","GOCARトークンステーキング
",GOCAR-TOKEN-STAKING,STAKING DE TOKEN GOCAR,STAKING DE TOKEN GOCAR,GOCAR TOKEN STAKE ,GOCAR TOKEN STAKING,STAKING DE TOKEN GOCAR,ĐẶT CƯỢC TOKEN GOCAR,СТАВКИ ТОКЕНА GOCAR,STAKING TOKEN GOCAR,การสเตกเหรียญ GOCAR
staking.a2,"GOCAR token'larınızı stake etmeye hazır mısınız? Stake ödülleri, dinamik bir ödül oranıyla üç yıl boyunca dağıtılacaktır.",Ready to stake your GOCAR tokens? Staking rewards are distributed over three years with a dynamic reward rate.,$GOCAR 토큰을 스테이킹할 준비가 되셨나요? 스테이킹 보상은 3년에 걸쳐 동적 보상 비율로 분배됩니다.,هل أنت مستعد لتخزين رموز GOCAR الخاصة بك؟ يتم توزيع مكافآت التخزين على مدى ثلاث سنوات بمعدل مكافآت ديناميكي.,准备好质押您的 $GOCAR 代币了吗？质押报酬将在三年内按动态报酬比例进行分配。,準備好質押您的$GOCAR 代幣了嗎？質押報酬將在三年內按動態報酬比例進行分配。,$GOCAR トークンをステーキングする準備はできましたか？ ステーキング報酬は3年間にわたり動的報酬率で分配されます。,"Bereit, deine GOCAR-Token zu staken? Die Staking-Belohnungen werden über drei Jahre hinweg mit einer dynamischen Belohnungsrate verteilt.",Prêt à staker vos tokens GOCAR ? Les récompenses de staking sont distribuées sur trois ans avec un taux de récompense dynamique.,¿Listo para hacer staking con tus tokens GOCAR? Las recompensas de staking se distribuyen durante tres años con una tasa de recompensa dinámica.,Sei pronto a puntare i tuoi gettoni GOCAR? I premi delle puntate sono distribuiti su tre anni con un tasso di ricompensa dinamico.,Klaar om je GOCAR-tokens te staken? Stakingsbeloningen worden over drie jaar verdeeld met een dynamisch beloningspercentage.,Pronto para fazer staking dos seus tokens GOCAR? As recompensas de staking serãodistribuídas ao longo de três anos com uma taxa de recompensa dinâmica.,Bạn đã sẵn sàng để cược token GOCAR chưa? Phần thưởng đặt cược sẽ được phân phối trong vòng ba năm với tỷ lệ phần thưởng linh hoạt.,"Готовы сделать ставки своих токенов $GOCAR?
Награды за ставки распределяются в течение трёх лет с динамической процентной ставкой.","Siap untuk melakukan staking token $GOCAR Anda?
Reward staking akan didistribusikan selama tiga tahun dengan tingkat Reward yang dinamis.","พร้อมที่จะสเตค $GOCAR ของคุณแล้วหรือยัง?
รางวัลจากการสเตคจะแจกจ่ายตลอด 3 ปี ด้วยอัตรารางวัลที่ยืดหยุ่น"
staking.b1,Tokenlerinizi unstake edin,"Unstake Your Tokens 


","토큰 언스테이킹

",إلغاء تخزين رموزك,代币质押解除,"代幣質押解除
",トークンのアンステーキング,Token Unstaking,Déstaker vos tokens,Desbloquear tus tokens,Annulla i tuoi gettoni ,Unstake je tokens,Desfazer o staking dos seus tokens,Hủy đặt cược token của bạn,Разблокировка ваших токенов,Lepaskan Staking Token Anda,ปลดล็อกโทเคนของคุณ
staking.b2,"TOKENLERİNİZİ UNSTAKE EDİN
",UNSTAKE YOUR TOKENS ,"토큰 언스테이킹
",إلغاء تخزين الرموز,代币质押解除,"代幣質押解除
",トークンのアンステーキング,UNSTAKE DEINE TOKEN,DÉSTAKER VOS TOKENS,DESBLOQUEAR TUS TOKENS,ANNULLA I TUOI SEGNALINI ,UNSTAKE JE TOKENS,DESFAZER O STAKING DOS SEUS TOKENS,HỦY ĐẶT CƯỢC TOKEN CỦA BẠN,РАЗБЛОКИРУЙТЕ СВОИ ТОКЕНЫ,"Lepaskan Staking Token Anda
",ปลดล็อกโทเคนของคุณ
staking.b3,"Unstaking, ön satış tamamlandıktan sonra mevcut olacaktır.",Unstaking will be available after the presale has concluded. ,"언스테이킹은 프리세일 종료 후 가능해집니다.
",سيكون إلغاء التخزين متاحًا بعد انتهاء البيع المسبق.,代币质押解除将在预售结束后开放。,"代幣質押解除將在預售結束後開放。
",アンステーキングはプレセール終了後に可能となります。,"Unstaking wird verfügbar sein, nachdem der Presale abgeschlossen ist.",Le déstaking sera disponible après la fin de la prévente., El desbloqueo estará disponible después de que finalice la preventa.,Potrai ritirare i tuoi gettoni una volta terminata la prevendita. ,Unstaking is beschikbaar na afloop van de presale.,O unstaking estará disponível após a conclusão da pré-venda.,Bạn có thể hủy đặt cược sau khi kết thúc đợt bán trước.,Разблокировка будет доступна после завершения предпродажи.,Unstaking akan tersedia setelah pra-penjualan selesai.,การปลดล็อกโทเคนจะสามารถทำได้หลังรอบพรีเซลล์สิ้นสุดลง
staking.b4,"Unstaking, talep tarihinden 7 gün sonra gerçekleştirilebilir.",Unstaking can be made 7 days after the request date.,언스테이킹은 요청일로부터 7일 후에 가능합니다.,يمكنك إلغاء التخزين بعد ٧ أيام من تاريخ تقديم الطلب.,代币质押解除可在请求日期的 7 天后进行。,代幣質押解除可在請求日期的7天後進行。,アンステーキングはリクエスト日から7日後に行えます。,Unstaking kann 7 Tage nach dem Antragsdatum vorgenommen werden.,Le déstaking pourra être effectué 7 jours après la date de demande.,El desbloqueo se podrá realizar 7 días después de la fecha de solicitud.,L'unstaking può essere effettuato 7 giorni dopo la data di richiesta.,Unstaking kan 7 dagen na de aanvraagdatum worden uitgevoerd.,O unstaking pode ser feito 7 dias após a data da solicitação.,Việc hủy đặt cược có thể thực hiện sau 7 ngày kể từ ngày yêu cầu.,Разблокировка возможна через 7 дней после даты запроса.,Unstaking dapat dilakukan 7 hari setelah tanggal permintaan.,การปลดล็อกโทเคนสามารถทำได้เมื่อครบ 7 วันหลังจากวันที่ร้องขอ
staking.c1,STAKED BAKİYE,"STAKED BALANCE 


","스테이킹된 잔액


",رصيد التخزين,质押余额,"3)
質押餘額
",ステーキング残高,GESTAKTES GUTHABEN,SOLDE STAKÉ,SALDO EN STAKING,EQUILIBRIO ,GESTAKED SALDO,"SALDO EM STAKING
",SỐ DƯ ĐÃ CỌC,БАЛАНС СТАВОК,SALDO STAKE,ยอดคงเหลือที่สเตค
staking.c10,$GOCAR STAKE ET,STAKE $GOCAR ,$GOCAR 스테이킹,تخزين $GOCAR,质押 $GOCAR,"質押 $GOCAR
","$GOCARステーキング
",$GOCAR STAKEN,STAKER $GOCAR,HACER STAKING DE $GOCAR,STACCA $GOCAR ,STAKE $GOCAR,FAZER STAKING DE $GOCAR,CỌC $GOCAR,СДЕЛАТЬ СТАВКИ $GOCAR,STAKE $GOCAR,สเตค $GOCAR
staking.c11,Yukarıda belirtilen $GOCAR miktarını stake etmek üzeresiniz. Devam etmek istiyor musunuz?,You're about to stake the $GOCAR amount shown above. Would you like to proceed? ,위에 표시된 $GOCAR 수량을 스테이킹하려고 합니다. 계속 진행하시겠습니까?,أنت على وشك تخزين كمية $GOCAR الموضحة أعلاه. هل ترغب في المتابعة؟,您即将质押上面显示的 $GOCAR 数量。是否继续进行？,"您即將質押上面顯示的 $GOCAR 數量。是否繼續進行？
",上記の$GOCAR数量をステーキングしようとしています。続行しますか？,"Du bist dabei, den oben angegebenen $GOCAR-Betrag zu staken. Möchtest du fortfahren? ",Vous êtes sur le point de staker le montant de $GOCAR indiqué ci-dessus. Voulez-vous continuer ?,Estás a punto de hacer staking con la cantidad de $GOCAR indicada arriba. ¿Quieres continuar?,Stai per scommettere l'importo di $GOCAR indicato sopra. Vuoi continuare? ,Je staat op het punt om het hierboven weergegeven $GOCAR-bedrag te staken. Wil je doorgaan?,Você está prestes a fazer staking do valor de $GOCAR mostrado acima. Deseja continuar?,Bạn sắp cọc số $GOCAR như trên. Bạn có muốn tiếp tục không?,Вы собираетесь сделать ставки на указанное выше количество $GOCAR. Хотите продолжить?,Anda akan melakukan staking untuk jumlah $GOCAR yang ditampilkan di atas. Apakah Anda ingin melanjutkan?,คุณกำลังจะสเตคจำนวน $GOCAR ที่แสดงข้างต้น ต้องการดำเนินการต่อหรือไม่?
staking.c12,ONAYLA,CONFIRM  ,"확인
",تأكيد,确认,"確認
",確認,BESTÄTIGEN,CONFIRMER,CONFIRMAR,CONFERMA  ,BEVESTIGEN,CONFIRMAR,XÁC NHẬN,ПОДТВЕРДИТЬ,KONFIRMASI,ยืนยัน
staking.c13,İPTAL ET,CANCEL,취소,إلغاء,取消,取消,キャンセル,ABBRECHEN,ANNULER,CANCELAR,ANNULLA,ANNULEREN,CANCELAR,HỦY,ОТМЕНИТЬ,BATAL,ยกเลิก
staking.c2,STAKE EDİLEBİLİR,AVAILABLE TO STAKE,"스테이킹 가능
",متاح للتخزين,可质押,可質押,ステーキング可能,VERFÜGBAR ZUM STAKEN,DISPONIBLE POUR LE STAKING,DISPONIBLE PARA STAKING,"DISPONIBILE PER LE SCOMMESSE
",BESCHIKBAAR OM TE STAKEN,DISPONÍVEL PARA STAKING,CÓ THỂ CỌC,ДОСТУПНО ДЛЯ СТАВОК,TERSEDIA UNTUK STAKE,สามารถสเตคได้
staking.c3,SATIN AL VE STAKE ET,BUY AND STAKE ,구매 및 스테이킹,شراء وتخزين,购买并质押,"購買並質押
",購入およびステーキング,KAUFEN UND STAKEN,ACHETER ET STAKER,COMPRAR Y HACER STAKING,ACQUISTA E SCOMMETTI ,KOOP EN STAKE,COMPRAR E FAZER STAKING,MUA VÀ CỌC,КУПИТЬ И СДЕЛАТЬ СТАВКИ,BELI DAN STAKE,ซื้อและสเตค
staking.c4,$GOCAR SATIN AL VE STAKE ET,BUY AND STAKE $GOCAR ,"$GOCAR 구매 및 스테이킹
",شراء وتخزين $GOCAR,购买并质押 $GOCAR,購買並質押 $GOCAR,$GOCARの購入およびステーキング,KAUFE UND STAKE $GOCAR,ACHETER ET STAKER $GOCAR,COMPRAR Y HACER STAKING DE $GOCAR,COMPRA E SCOMMETTI $GOCAR ,KOOP EN STAKE $GOCAR,COMPRAR E FAZER STAKING DE $GOCAR,MUA VÀ CỌC $GOCAR,КУПИТЬ И СДЕЛАТЬ СТАВКИ $GOCAR,BELI DAN STAKE $GOCAR,ซื้อและสเตค $GOCAR
staking.c5,MİKTAR,AMOUNT   ,수량 ,المبلغ,数量,數量,数量,BETRAG,MONTANT,"CANTIDAD
",IMPORTO,BEDRAG,QUANTIA,SỐ LƯỢNG,СУММА,JUMLAH,จำนวน
staking.c6,HEPSİ,ALL,전체,الكل,全部,"全部
",全体,ALLES,TOTAL,TODO,TUTTI,ALLES,TUDO,TẤT CẢ,ВСЕ,SEMUA,ทั้งหมด
staking.c7,$GOCAR miktarını girin,Enter $GOCAR amount   ,$GOCAR 수량 입력,أدخل مبلغ $GOCAR,输入 $GOCAR 数量,"輸入 $GOCAR 數量
","$GOCARの数量を入力
",Geben Sie den $GOCAR-Betrag ein,Entrez le montant en $GOCAR,Ingrese la cantidad de $GOCAR,"Inserisci l'importo di $GOCAR    
",Voer het $GOCAR-bedrag in,Insira o valor de $GOCAR,Nhập số lượng $GOCAR,Введите сумму $GOCAR,Masukkan jumlah $GOCAR,ป้อนจำนวน $GOCAR
staking.c8,$GOCAR SATIN AL,BUY $GOCAR ,"$GOCAR 구매
",شراء $GOCAR,购买 $GOCAR,"購買 $GOCAR
",$GOCAR購入,$GOCAR KAUFEN,ACHETER $GOCAR,COMPRAR $GOCAR,ACQUISTA $GOAL ,KOOP $GOCAR,COMPRAR $GOCAR,MUA $GOCAR,КУПИТЬ $GOCAR,BELI $GOCAR,ซื้อ $GOCAR
staking.c9,$GOCAR STAKE ET,STAKE $GOCAR,$GOCAR 스테이킹,تخزين $GOCAR,质押 $GOCAR,質押 $GOCAR,$GOCARステーキング,$GOCAR STAKEN,STAKER $GOCAR,HACER STAKING DE $GOCAR,PARTECIPA A $GOCAR ,STAKE $GOCAR,FAZER STAKING DE $GOCAR,CỌC $GOCAR,СДЕЛАТЬ СТАВКИ $GOCAR,STAKE $GOCAR,สเตค $GOCAR
staking.d1,HAVUZDAKİ PAYINIZ %,YOUR % OF POOL,"당신의 풀 비율
",نسبتك من المجمع,您的质押池比例,"您的質押池比例
",あなたのプール比率,"DEIN % AM POOL
",VOTRE % DU POOL,TU % DEL POOL,"LA TUA % DI PISCINA
","JOUW % VAN DE POOL
",SUA % DO POOL,TỶ LỆ CỦA BẠN TRONG NHÓM,ВАШ % ОТ ПУЛА," % DARI POOL
",% ของคุณจากในกองพูล
staking.d2,TOPLAM STAKELENEN,TOTAL STAKED ,총 스테이킹 된 수량,إجمالي الرموز المخزنة,总质押数量,總質押數量,総ステーキング数量,GESAMT GESTAKT,TOTAL STAKÉ,TOTAL EN STAKING,TOTALE STABILITO ,TOTAAL GESTAKED,TOTAL EM STAKING,TỔNG SỐ ĐÃ CỌC,ОБЩИЙ ОБЪЁМ СТАВОК,TOTAL YANG DI-STAKE,ยอดรวมที่สเตค
staking.e1,TAHMİNİ ÖDÜLLER,"ESTIMATED REWARDS 





","예상 보상
",المكافآت المقدرة,预计报酬,"預計報酬
",予想報酬,GESCHÄTZTE BELOHNUNGEN,"RÉCOMPENSES ESTIMÉES



",RECOMPENSAS ESTIMADAS,RICOMPENSE STIMATE ,GESCHATTE BELONINGEN,RECOMPENSAS ESTIMADAS,PHẦN THƯỞNG ƯỚC TÍNH,ПРЕДПОЛАГАЕМЫЕ НАГРАДЫ,"PERKIRAAN REWARD
 
 
 
 ",รางวัลที่คาดการณ์
staking.e2,Ödül oranı dinamiktir,Rewards rate is dynamic ,"보상 비율은 동적입니다.
",معدل المكافآت ديناميكي,报酬比例是动态的。,"報酬比例是動態的。
",報酬率は動的です。,Die Belohnungsrate ist dynamisch,Le taux de récompense est dynamique,La tasa de recompensa es dinámica,"La percentuale dei premi è dinamica 
",Het beloningspercentage is dynamisch,A taxa de recompensa é dinâmica,Tỷ lệ phần thưởng là linh hoạt,Ставка наград является динамической,Tingkat reward bersifat dinamis,อัตรารางวัลมีการปรับเปลี่ยน
staking.e3,Aylık = Ödül % / 12,Monthly = Rewards % / 12 ,"월별 = 보상 % / 12
",شهريًا = نسبة المكافآت / ١٢,每月 = 报酬 % / 12,"每月 = 報酬 % / 12
",月別 = 報酬% / 12,Monatlich = Belohnungs % / 12,Mensuel = Récompenses % / 12,Mensual = Recompensas % / 12,Mensile = % di ricompense / 12,Maandelijks = Beloningspercentage / 12,Mensal = Recompensas % / 12,Hàng tháng = Tỷ lệ phần thưởng % / 12,Ежемесячно = Награды % / 12,Bulanan = Reward % / 12,รายเดือน = รางวัล % / 12
staking.e4,Günlük = Ödül % / 365,Daily = Rewards % / 365,일별 = 보상 % / 365,يوميًا = نسبة المكافآت / ٣٦٥,每日 = 报酬 % / 365,每日 = 報酬 % / 365,日別 = 報酬% / 365,Täglich = Belohnungs % / 365,Quotidien = Récompenses % / 365,Diaria = Recompensas % / 365,Giornaliero = % di ricompense / 365,Dagelijks = Beloningspercentage / 365,Diária = Recompensas % / 365,Hàng ngày = Tỷ lệ phần thưởng % / 365,Ежедневно = Награды % / 365,Harian = Reward % / 365,รายวัน = รางวัล % / 365
staking.f1,TOPLAM ÖDÜLLER,"TOTAL REWARDS 

","총 보상
",إجمالي المكافآت,总报酬,"總報酬
",総報酬,GESAMTE BELOHNUNGEN,"RÉCOMPENSES TOTALES
",RECOMPENSAS TOTALES,PREMI TOTALI ,TOTALE BELONINGEN,RECOMPENSAS TOTAIS,TỔNG PHẦN THƯỞNG,ОБЩИЕ НАГРАДЫ, TOTAL REWARD,รางวัลทั้งหมด
staking.f2,ÖDÜLLERİ TALEP ET,CLAIM REWARDS ,"보상 수령 
",المطالبة بالمكافآت,领取报酬,"領取報酬
","報酬を受け取る
",BELONUNGEN EINLÖSEN,RÉCUPÉRER LES RÉCOMPENSES,RECLAMAR RECOMPENSAS,RICHIESTA PREMI ,CLAIM BELONINGEN,RESGATAR RECOMPENSAS,NHẬN PHẦN THƯỞNG,ПОЛУЧИТЬ НАГРАДУ,KLAIM REWARD,รับรางวัล
staking.f3,$GOCAR TALEP ET,CLAIM $GOCAR ,"$GOCAR 수령 
",المطالبة بـ $GOCAR,领取 $GOCAR,"領取 $GOCAR
","$GOCAR を受け取る
",$GOCAR EINLÖSEN,RÉCUPÉRER $GOCAR,"RECLAMAR $GOCAR
",RICHIEDI $GOCAR ,CLAIM $GOCAR,RESGATAR $GOCAR,NHẬN $GOCAR,ПОЛУЧИТЬ $GOCAR,KLAIM $GOCAR,รับ $GOCAR
